Year,State,Type of Producer,Energy Source,Megawatthours
1990,AK,Total Electric Power Industry,Total,5599506.0
1990,AK,Total Electric Power Industry,Coal,510573.0
1990,AK,Total Electric Power Industry,Hydroelectric Conventional,974521.0
1990,AK,Total Electric Power Industry,Natural Gas,3466261.0
1990,AK,Total Electric Power Industry,Petroleum,497116.0
1990,AK,Total Electric Power Industry,Wind,0.0
1990,AK,Total Electric Power Industry,Wood and Wood Derived Fuels,151035.0
1990,AK,"Electric Generators, Electric Utilities",Total,4493024.0
1990,AK,"Electric Generators, Electric Utilities",Coal,311960.0
1990,AK,"Electric Generators, Electric Utilities",Hydroelectric Conventional,974521.0
1990,AK,"Electric Generators, Electric Utilities",Natural Gas,2869638.0
1990,AK,"Electric Generators, Electric Utilities",Petroleum,336905.0
1990,AK,"Electric Generators, Electric Utilities",Wind,0.0
1990,AK,"Combined Heat and Power, Industrial Power",Total,840949.0
1990,AK,"Combined Heat and Power, Industrial Power",Natural Gas,596623.0
1990,AK,"Combined Heat and Power, Industrial Power",Petroleum,93291.0
1990,AK,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,151035.0
1990,AK,"Combined Heat and Power, Commercial Power",Total,265533.0
1990,AK,"Combined Heat and Power, Commercial Power",Coal,198613.0
1990,AK,"Combined Heat and Power, Commercial Power",Petroleum,66920.0
1990,AL,Total Electric Power Industry,Total,79652133.0
1990,AL,Total Electric Power Industry,Coal,53658115.0
1990,AL,Total Electric Power Industry,Hydroelectric Conventional,10366507.0
1990,AL,Total Electric Power Industry,Natural Gas,1020714.0
1990,AL,Total Electric Power Industry,Nuclear,12051882.0
1990,AL,Total Electric Power Industry,Other Biomass,47503.0
1990,AL,Total Electric Power Industry,Other Gases,269476.0
1990,AL,Total Electric Power Industry,Petroleum,138089.0
1990,AL,Total Electric Power Industry,Wood and Wood Derived Fuels,2099847.0
1990,AL,"Electric Generators, Independent Power Producers",Total,27936.0
1990,AL,"Electric Generators, Independent Power Producers",Other Biomass,25310.0
1990,AL,"Electric Generators, Independent Power Producers",Wood and Wood Derived Fuels,2626.0
1990,AL,"Electric Generators, Electric Utilities",Total,76231696.0
1990,AL,"Electric Generators, Electric Utilities",Coal,53301276.0
1990,AL,"Electric Generators, Electric Utilities",Hydroelectric Conventional,10366507.0
1990,AL,"Electric Generators, Electric Utilities",Natural Gas,420115.0
1990,AL,"Electric Generators, Electric Utilities",Nuclear,12051882.0
1990,AL,"Electric Generators, Electric Utilities",Petroleum,91916.0
1990,AL,"Combined Heat and Power, Industrial Power",Total,2726688.0
1990,AL,"Combined Heat and Power, Industrial Power",Coal,314241.0
1990,AL,"Combined Heat and Power, Industrial Power",Natural Gas,567061.0
1990,AL,"Combined Heat and Power, Industrial Power",Other Biomass,22193.0
1990,AL,"Combined Heat and Power, Industrial Power",Other Gases,269476.0
1990,AL,"Combined Heat and Power, Industrial Power",Petroleum,46173.0
1990,AL,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,1507544.0
1990,AL,"Combined Heat and Power, Electric Power",Total,665813.0
1990,AL,"Combined Heat and Power, Electric Power",Coal,42598.0
1990,AL,"Combined Heat and Power, Electric Power",Natural Gas,33538.0
1990,AL,"Combined Heat and Power, Electric Power",Wood and Wood Derived Fuels,589677.0
1990,AR,Total Electric Power Industry,Total,39099598.0
1990,AR,Total Electric Power Industry,Coal,19207935.0
1990,AR,Total Electric Power Industry,Hydroelectric Conventional,3654653.0
1990,AR,Total Electric Power Industry,Natural Gas,3578573.0
1990,AR,Total Electric Power Industry,Nuclear,11282053.0
1990,AR,Total Electric Power Industry,Other Biomass,15389.0
1990,AR,Total Electric Power Industry,Petroleum,79979.0
1990,AR,Total Electric Power Industry,Pumped Storage,42972.0
1990,AR,Total Electric Power Industry,Wood and Wood Derived Fuels,1238044.0
1990,AR,"Electric Generators, Electric Utilities",Total,37053436.0
1990,AR,"Electric Generators, Electric Utilities",Coal,19160989.0
1990,AR,"Electric Generators, Electric Utilities",Hydroelectric Conventional,3654653.0
1990,AR,"Electric Generators, Electric Utilities",Natural Gas,2838913.0
1990,AR,"Electric Generators, Electric Utilities",Nuclear,11282053.0
1990,AR,"Electric Generators, Electric Utilities",Petroleum,73856.0
1990,AR,"Electric Generators, Electric Utilities",Pumped Storage,42972.0
1990,AR,"Combined Heat and Power, Industrial Power",Total,1990788.0
1990,AR,"Combined Heat and Power, Industrial Power",Coal,46946.0
1990,AR,"Combined Heat and Power, Industrial Power",Natural Gas,692117.0
1990,AR,"Combined Heat and Power, Industrial Power",Other Biomass,10560.0
1990,AR,"Combined Heat and Power, Industrial Power",Petroleum,3121.0
1990,AR,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,1238044.0
1990,AR,"Combined Heat and Power, Commercial Power",Total,55374.0
1990,AR,"Combined Heat and Power, Commercial Power",Natural Gas,47543.0
1990,AR,"Combined Heat and Power, Commercial Power",Other Biomass,4829.0
1990,AR,"Combined Heat and Power, Commercial Power",Petroleum,3002.0
1990,AZ,Total Electric Power Industry,Total,62774297.0
1990,AZ,Total Electric Power Industry,Coal,31915610.0
1990,AZ,Total Electric Power Industry,Hydroelectric Conventional,7417576.0
1990,AZ,Total Electric Power Industry,Natural Gas,2333900.0
1990,AZ,Total Electric Power Industry,Nuclear,20597689.0
1990,AZ,Total Electric Power Industry,Petroleum,151867.0
1990,AZ,Total Electric Power Industry,Pumped Storage,249767.0
1990,AZ,Total Electric Power Industry,Wood and Wood Derived Fuels,107888.0
1990,AZ,"Electric Generators, Electric Utilities",Total,62288980.0
1990,AZ,"Electric Generators, Electric Utilities",Coal,31636037.0
1990,AZ,"Electric Generators, Electric Utilities",Hydroelectric Conventional,7417576.0
1990,AZ,"Electric Generators, Electric Utilities",Natural Gas,2271504.0
1990,AZ,"Electric Generators, Electric Utilities",Nuclear,20597689.0
1990,AZ,"Electric Generators, Electric Utilities",Petroleum,116407.0
1990,AZ,"Electric Generators, Electric Utilities",Pumped Storage,249767.0
1990,AZ,"Combined Heat and Power, Industrial Power",Total,455233.0
1990,AZ,"Combined Heat and Power, Industrial Power",Coal,279573.0
1990,AZ,"Combined Heat and Power, Industrial Power",Natural Gas,33526.0
1990,AZ,"Combined Heat and Power, Industrial Power",Petroleum,34246.0
1990,AZ,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,107888.0
1990,AZ,"Combined Heat and Power, Commercial Power",Total,30084.0
1990,AZ,"Combined Heat and Power, Commercial Power",Natural Gas,28870.0
1990,AZ,"Combined Heat and Power, Commercial Power",Petroleum,1214.0
1990,CA,Total Electric Power Industry,Total,165784909.0
1990,CA,Total Electric Power Industry,Coal,2637677.0
1990,CA,Total Electric Power Industry,Geothermal,14521254.0
1990,CA,Total Electric Power Industry,Hydroelectric Conventional,23792567.0
1990,CA,Total Electric Power Industry,Natural Gas,74168308.0
1990,CA,Total Electric Power Industry,Nuclear,32692807.0
1990,CA,Total Electric Power Industry,Other,0.0
1990,CA,Total Electric Power Industry,Other Biomass,2117915.0
1990,CA,Total Electric Power Industry,Other Gases,2146742.0
1990,CA,Total Electric Power Industry,Petroleum,5473852.0
1990,CA,Total Electric Power Industry,Pumped Storage,986252.0
1990,CA,Total Electric Power Industry,Solar Thermal and Photovoltaic,366668.0
1990,CA,Total Electric Power Industry,Wind,2758881.0
1990,CA,Total Electric Power Industry,Wood and Wood Derived Fuels,4121986.0
1990,CA,"Electric Generators, Independent Power Producers",Total,15407378.0
1990,CA,"Electric Generators, Independent Power Producers",Coal,111785.0
1990,CA,"Electric Generators, Independent Power Producers",Geothermal,6091851.0
1990,CA,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,976870.0
1990,CA,"Electric Generators, Independent Power Producers",Natural Gas,383704.0
1990,CA,"Electric Generators, Independent Power Producers",Other Biomass,1931950.0
1990,CA,"Electric Generators, Independent Power Producers",Other Gases,323.0
1990,CA,"Electric Generators, Independent Power Producers",Petroleum,431308.0
1990,CA,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,364639.0
1990,CA,"Electric Generators, Independent Power Producers",Wind,2758838.0
1990,CA,"Electric Generators, Independent Power Producers",Wood and Wood Derived Fuels,2356110.0
1990,CA,"Electric Generators, Electric Utilities",Total,114528000.0
1990,CA,"Electric Generators, Electric Utilities",Geothermal,8429403.0
1990,CA,"Electric Generators, Electric Utilities",Hydroelectric Conventional,22808272.0
1990,CA,"Electric Generators, Electric Utilities",Natural Gas,45221848.0
1990,CA,"Electric Generators, Electric Utilities",Nuclear,32692807.0
1990,CA,"Electric Generators, Electric Utilities",Other Biomass,2111.0
1990,CA,"Electric Generators, Electric Utilities",Petroleum,4385235.0
1990,CA,"Electric Generators, Electric Utilities",Pumped Storage,986252.0
1990,CA,"Electric Generators, Electric Utilities",Solar Thermal and Photovoltaic,2029.0
1990,CA,"Electric Generators, Electric Utilities",Wind,43.0
1990,CA,"Combined Heat and Power, Industrial Power",Total,16572153.0
1990,CA,"Combined Heat and Power, Industrial Power",Coal,1024772.0
1990,CA,"Combined Heat and Power, Industrial Power",Natural Gas,11100821.0
1990,CA,"Combined Heat and Power, Industrial Power",Other,0.0
1990,CA,"Combined Heat and Power, Industrial Power",Other Biomass,65528.0
1990,CA,"Combined Heat and Power, Industrial Power",Other Gases,2025432.0
1990,CA,"Combined Heat and Power, Industrial Power",Petroleum,635949.0
1990,CA,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,1719651.0
1990,CA,"Combined Heat and Power, Electric Power",Total,17547076.0
1990,CA,"Combined Heat and Power, Electric Power",Coal,1501120.0
1990,CA,"Combined Heat and Power, Electric Power",Natural Gas,15899278.0
1990,CA,"Combined Heat and Power, Electric Power",Other Biomass,91472.0
1990,CA,"Combined Heat and Power, Electric Power",Petroleum,8981.0
1990,CA,"Combined Heat and Power, Electric Power",Wood and Wood Derived Fuels,46225.0
1990,CA,"Combined Heat and Power, Commercial Power",Total,1730302.0
1990,CA,"Combined Heat and Power, Commercial Power",Hydroelectric Conventional,7425.0
1990,CA,"Combined Heat and Power, Commercial Power",Natural Gas,1562657.0
1990,CA,"Combined Heat and Power, Commercial Power",Other Biomass,26854.0
1990,CA,"Combined Heat and Power, Commercial Power",Other Gases,120987.0
1990,CA,"Combined Heat and Power, Commercial Power",Petroleum,12379.0
1990,CO,Total Electric Power Industry,Total,32548127.0
1990,CO,Total Electric Power Industry,Coal,29814983.0
1990,CO,Total Electric Power Industry,Hydroelectric Conventional,1419870.0
1990,CO,Total Electric Power Industry,Natural Gas,1290092.0
1990,CO,Total Electric Power Industry,Other Biomass,28990.0
1990,CO,Total Electric Power Industry,Petroleum,27390.0
1990,CO,Total Electric Power Industry,Pumped Storage,-33198.0
1990,CO,"Electric Generators, Independent Power Producers",Total,225959.0
1990,CO,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,110909.0
1990,CO,"Electric Generators, Independent Power Producers",Natural Gas,115050.0
1990,CO,"Electric Generators, Electric Utilities",Total,31312872.0
1990,CO,"Electric Generators, Electric Utilities",Coal,29602738.0
1990,CO,"Electric Generators, Electric Utilities",Hydroelectric Conventional,1308961.0
1990,CO,"Electric Generators, Electric Utilities",Natural Gas,409078.0
1990,CO,"Electric Generators, Electric Utilities",Other Biomass,164.0
1990,CO,"Electric Generators, Electric Utilities",Petroleum,25129.0
1990,CO,"Electric Generators, Electric Utilities",Pumped Storage,-33198.0
1990,CO,"Combined Heat and Power, Industrial Power",Total,53888.0
1990,CO,"Combined Heat and Power, Industrial Power",Natural Gas,51627.0
1990,CO,"Combined Heat and Power, Industrial Power",Petroleum,2261.0
1990,CO,"Combined Heat and Power, Electric Power",Total,930200.0
1990,CO,"Combined Heat and Power, Electric Power",Coal,212245.0
1990,CO,"Combined Heat and Power, Electric Power",Natural Gas,714337.0
1990,CO,"Combined Heat and Power, Electric Power",Other Biomass,3618.0
1990,CO,"Combined Heat and Power, Commercial Power",Total,25208.0
1990,CO,"Combined Heat and Power, Commercial Power",Other Biomass,25208.0
1990,CT,Total Electric Power Industry,Total,35147247.0
1990,CT,Total Electric Power Industry,Coal,3594645.0
1990,CT,Total Electric Power Industry,Hydroelectric Conventional,570619.0
1990,CT,Total Electric Power Industry,Natural Gas,1251479.0
1990,CT,Total Electric Power Industry,Nuclear,19776250.0
1990,CT,Total Electric Power Industry,Other,0.0
1990,CT,Total Electric Power Industry,Other Biomass,1073310.0
1990,CT,Total Electric Power Industry,Other Gases,4.0
1990,CT,Total Electric Power Industry,Petroleum,8874466.0
1990,CT,Total Electric Power Industry,Pumped Storage,6474.0
1990,CT,"Electric Generators, Independent Power Producers",Total,672825.0
1990,CT,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,67239.0
1990,CT,"Electric Generators, Independent Power Producers",Other Biomass,605586.0
1990,CT,"Electric Generators, Electric Utilities",Total,32155574.0
1990,CT,"Electric Generators, Electric Utilities",Coal,2351049.0
1990,CT,"Electric Generators, Electric Utilities",Hydroelectric Conventional,495848.0
1990,CT,"Electric Generators, Electric Utilities",Natural Gas,471836.0
1990,CT,"Electric Generators, Electric Utilities",Nuclear,19776250.0
1990,CT,"Electric Generators, Electric Utilities",Other Biomass,421546.0
1990,CT,"Electric Generators, Electric Utilities",Petroleum,8632571.0
1990,CT,"Electric Generators, Electric Utilities",Pumped Storage,6474.0
1990,CT,"Combined Heat and Power, Industrial Power",Total,190315.0
1990,CT,"Combined Heat and Power, Industrial Power",Hydroelectric Conventional,7532.0
1990,CT,"Combined Heat and Power, Industrial Power",Natural Gas,10612.0
1990,CT,"Combined Heat and Power, Industrial Power",Other,0.0
1990,CT,"Combined Heat and Power, Industrial Power",Petroleum,172171.0
1990,CT,"Combined Heat and Power, Electric Power",Total,1986751.0
1990,CT,"Combined Heat and Power, Electric Power",Coal,1243596.0
1990,CT,"Combined Heat and Power, Electric Power",Natural Gas,654360.0
1990,CT,"Combined Heat and Power, Electric Power",Other Biomass,46178.0
1990,CT,"Combined Heat and Power, Electric Power",Other Gases,4.0
1990,CT,"Combined Heat and Power, Electric Power",Petroleum,42613.0
1990,CT,"Combined Heat and Power, Commercial Power",Total,141782.0
1990,CT,"Combined Heat and Power, Commercial Power",Natural Gas,114671.0
1990,CT,"Combined Heat and Power, Commercial Power",Petroleum,27111.0
1990,DC,Total Electric Power Industry,Total,361043.0
1990,DC,Total Electric Power Industry,Coal,0.0
1990,DC,Total Electric Power Industry,Petroleum,361043.0
1990,DC,"Electric Generators, Electric Utilities",Total,361043.0
1990,DC,"Electric Generators, Electric Utilities",Petroleum,361043.0
1990,DC,"Combined Heat and Power, Commercial Power",Total,0.0
1990,DC,"Combined Heat and Power, Commercial Power",Coal,0.0
1990,DE,Total Electric Power Industry,Total,7841500.0
1990,DE,Total Electric Power Industry,Coal,5113479.0
1990,DE,Total Electric Power Industry,Natural Gas,763019.0
1990,DE,Total Electric Power Industry,Other,6315.0
1990,DE,Total Electric Power Industry,Other Gases,164881.0
1990,DE,Total Electric Power Industry,Petroleum,1793806.0
1990,DE,"Electric Generators, Electric Utilities",Total,7099663.0
1990,DE,"Electric Generators, Electric Utilities",Coal,4904473.0
1990,DE,"Electric Generators, Electric Utilities",Natural Gas,759004.0
1990,DE,"Electric Generators, Electric Utilities",Petroleum,1436186.0
1990,DE,"Combined Heat and Power, Industrial Power",Total,741837.0
1990,DE,"Combined Heat and Power, Industrial Power",Coal,209006.0
1990,DE,"Combined Heat and Power, Industrial Power",Natural Gas,4015.0
1990,DE,"Combined Heat and Power, Industrial Power",Other,6315.0
1990,DE,"Combined Heat and Power, Industrial Power",Other Gases,164881.0
1990,DE,"Combined Heat and Power, Industrial Power",Petroleum,357620.0
1990,FL,Total Electric Power Industry,Total,131502553.0
1990,FL,Total Electric Power Industry,Coal,60100257.0
1990,FL,Total Electric Power Industry,Hydroelectric Conventional,174604.0
1990,FL,Total Electric Power Industry,Natural Gas,18642683.0
1990,FL,Total Electric Power Industry,Nuclear,21779560.0
1990,FL,Total Electric Power Industry,Other,1453102.0
1990,FL,Total Electric Power Industry,Other Biomass,1673078.0
1990,FL,Total Electric Power Industry,Petroleum,25535138.0
1990,FL,Total Electric Power Industry,Wood and Wood Derived Fuels,2144131.0
1990,FL,"Electric Generators, Independent Power Producers",Total,1695776.0
1990,FL,"Electric Generators, Independent Power Producers",Natural Gas,1166.0
1990,FL,"Electric Generators, Independent Power Producers",Other Biomass,1542643.0
1990,FL,"Electric Generators, Independent Power Producers",Petroleum,769.0
1990,FL,"Electric Generators, Independent Power Producers",Wood and Wood Derived Fuels,151198.0
1990,FL,"Electric Generators, Electric Utilities",Total,123623905.0
1990,FL,"Electric Generators, Electric Utilities",Coal,59073203.0
1990,FL,"Electric Generators, Electric Utilities",Hydroelectric Conventional,174604.0
1990,FL,"Electric Generators, Electric Utilities",Natural Gas,17504242.0
1990,FL,"Electric Generators, Electric Utilities",Nuclear,21779560.0
1990,FL,"Electric Generators, Electric Utilities",Petroleum,25092296.0
1990,FL,"Combined Heat and Power, Industrial Power",Total,5290804.0
1990,FL,"Combined Heat and Power, Industrial Power",Coal,383736.0
1990,FL,"Combined Heat and Power, Industrial Power",Natural Gas,928175.0
1990,FL,"Combined Heat and Power, Industrial Power",Other,1453102.0
1990,FL,"Combined Heat and Power, Industrial Power",Other Biomass,97705.0
1990,FL,"Combined Heat and Power, Industrial Power",Petroleum,435153.0
1990,FL,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,1992933.0
1990,FL,"Combined Heat and Power, Electric Power",Total,647307.0
1990,FL,"Combined Heat and Power, Electric Power",Coal,643318.0
1990,FL,"Combined Heat and Power, Electric Power",Petroleum,3989.0
1990,FL,"Combined Heat and Power, Commercial Power",Total,244761.0
1990,FL,"Combined Heat and Power, Commercial Power",Natural Gas,209100.0
1990,FL,"Combined Heat and Power, Commercial Power",Other Biomass,32730.0
1990,FL,"Combined Heat and Power, Commercial Power",Petroleum,2931.0
1990,GA,Total Electric Power Industry,Total,102686240.0
1990,GA,Total Electric Power Industry,Coal,68545692.0
1990,GA,Total Electric Power Industry,Hydroelectric Conventional,4589117.0
1990,GA,Total Electric Power Industry,Natural Gas,830180.0
1990,GA,Total Electric Power Industry,Nuclear,24796884.0
1990,GA,Total Electric Power Industry,Other,1.0
1990,GA,Total Electric Power Industry,Other Biomass,135457.0
1990,GA,Total Electric Power Industry,Petroleum,499480.0
1990,GA,Total Electric Power Industry,Pumped Storage,342110.0
1990,GA,Total Electric Power Industry,Wood and Wood Derived Fuels,2947319.0
1990,GA,"Electric Generators, Independent Power Producers",Total,8021.0
1990,GA,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,7982.0
1990,GA,"Electric Generators, Independent Power Producers",Natural Gas,24.0
1990,GA,"Electric Generators, Independent Power Producers",Petroleum,15.0
1990,GA,"Electric Generators, Electric Utilities",Total,97565058.0
1990,GA,"Electric Generators, Electric Utilities",Coal,67564750.0
1990,GA,"Electric Generators, Electric Utilities",Hydroelectric Conventional,4544712.0
1990,GA,"Electric Generators, Electric Utilities",Natural Gas,151615.0
1990,GA,"Electric Generators, Electric Utilities",Nuclear,24796884.0
1990,GA,"Electric Generators, Electric Utilities",Petroleum,164987.0
1990,GA,"Electric Generators, Electric Utilities",Pumped Storage,342110.0
1990,GA,"Combined Heat and Power, Industrial Power",Total,5110380.0
1990,GA,"Combined Heat and Power, Industrial Power",Coal,980942.0
1990,GA,"Combined Heat and Power, Industrial Power",Hydroelectric Conventional,36423.0
1990,GA,"Combined Heat and Power, Industrial Power",Natural Gas,678423.0
1990,GA,"Combined Heat and Power, Industrial Power",Other,1.0
1990,GA,"Combined Heat and Power, Industrial Power",Other Biomass,135457.0
1990,GA,"Combined Heat and Power, Industrial Power",Petroleum,331815.0
1990,GA,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,2947319.0
1990,GA,"Combined Heat and Power, Commercial Power",Total,2781.0
1990,GA,"Combined Heat and Power, Commercial Power",Natural Gas,118.0
1990,GA,"Combined Heat and Power, Commercial Power",Petroleum,2663.0
1990,HI,Total Electric Power Industry,Total,9702752.0
1990,HI,Total Electric Power Industry,Coal,2381.0
1990,HI,Total Electric Power Industry,Geothermal,0.0
1990,HI,Total Electric Power Industry,Hydroelectric Conventional,79516.0
1990,HI,Total Electric Power Industry,Other Biomass,840005.0
1990,HI,Total Electric Power Industry,Other Gases,16163.0
1990,HI,Total Electric Power Industry,Petroleum,8735862.0
1990,HI,Total Electric Power Industry,Wind,28825.0
1990,HI,"Electric Generators, Independent Power Producers",Total,385510.0
1990,HI,"Electric Generators, Independent Power Producers",Other Biomass,342851.0
1990,HI,"Electric Generators, Independent Power Producers",Petroleum,13834.0
1990,HI,"Electric Generators, Independent Power Producers",Wind,28825.0
1990,HI,"Electric Generators, Electric Utilities",Total,7996096.0
1990,HI,"Electric Generators, Electric Utilities",Geothermal,0.0
1990,HI,"Electric Generators, Electric Utilities",Hydroelectric Conventional,22743.0
1990,HI,"Electric Generators, Electric Utilities",Other Biomass,5999.0
1990,HI,"Electric Generators, Electric Utilities",Petroleum,7967354.0
1990,HI,"Combined Heat and Power, Industrial Power",Total,778856.0
1990,HI,"Combined Heat and Power, Industrial Power",Coal,1196.0
1990,HI,"Combined Heat and Power, Industrial Power",Hydroelectric Conventional,56773.0
1990,HI,"Combined Heat and Power, Industrial Power",Other Biomass,407991.0
1990,HI,"Combined Heat and Power, Industrial Power",Other Gases,16163.0
1990,HI,"Combined Heat and Power, Industrial Power",Petroleum,296733.0
1990,HI,"Combined Heat and Power, Electric Power",Total,542290.0
1990,HI,"Combined Heat and Power, Electric Power",Coal,1185.0
1990,HI,"Combined Heat and Power, Electric Power",Other Biomass,83164.0
1990,HI,"Combined Heat and Power, Electric Power",Petroleum,457941.0
1990,IA,Total Electric Power Industry,Total,30044506.0
1990,IA,Total Electric Power Industry,Coal,25751941.0
1990,IA,Total Electric Power Industry,Hydroelectric Conventional,875114.0
1990,IA,Total Electric Power Industry,Natural Gas,333390.0
1990,IA,Total Electric Power Industry,Nuclear,3011572.0
1990,IA,Total Electric Power Industry,Other Biomass,18018.0
1990,IA,Total Electric Power Industry,Petroleum,54471.0
1990,IA,"Electric Generators, Independent Power Producers",Total,19955.0
1990,IA,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,18266.0
1990,IA,"Electric Generators, Independent Power Producers",Natural Gas,1392.0
1990,IA,"Electric Generators, Independent Power Producers",Petroleum,297.0
1990,IA,"Electric Generators, Electric Utilities",Total,29047940.0
1990,IA,"Electric Generators, Electric Utilities",Coal,24879567.0
1990,IA,"Electric Generators, Electric Utilities",Hydroelectric Conventional,856848.0
1990,IA,"Electric Generators, Electric Utilities",Natural Gas,231263.0
1990,IA,"Electric Generators, Electric Utilities",Nuclear,3011572.0
1990,IA,"Electric Generators, Electric Utilities",Other Biomass,17375.0
1990,IA,"Electric Generators, Electric Utilities",Petroleum,51315.0
1990,IA,"Combined Heat and Power, Industrial Power",Total,835446.0
1990,IA,"Combined Heat and Power, Industrial Power",Coal,757340.0
1990,IA,"Combined Heat and Power, Industrial Power",Natural Gas,74960.0
1990,IA,"Combined Heat and Power, Industrial Power",Other Biomass,643.0
1990,IA,"Combined Heat and Power, Industrial Power",Petroleum,2503.0
1990,IA,"Combined Heat and Power, Electric Power",Total,123970.0
1990,IA,"Combined Heat and Power, Electric Power",Coal,103126.0
1990,IA,"Combined Heat and Power, Electric Power",Natural Gas,20844.0
1990,IA,"Combined Heat and Power, Commercial Power",Total,17195.0
1990,IA,"Combined Heat and Power, Commercial Power",Coal,11908.0
1990,IA,"Combined Heat and Power, Commercial Power",Natural Gas,4931.0
1990,IA,"Combined Heat and Power, Commercial Power",Petroleum,356.0
1990,ID,Total Electric Power Industry,Total,9691475.0
1990,ID,Total Electric Power Industry,Coal,44371.0
1990,ID,Total Electric Power Industry,Hydroelectric Conventional,9114990.0
1990,ID,Total Electric Power Industry,Natural Gas,55714.0
1990,ID,Total Electric Power Industry,Other,65203.0
1990,ID,Total Electric Power Industry,Petroleum,994.0
1990,ID,Total Electric Power Industry,Wood and Wood Derived Fuels,410203.0
1990,ID,"Electric Generators, Independent Power Producers",Total,497628.0
1990,ID,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,497628.0
1990,ID,"Electric Generators, Electric Utilities",Total,8617977.0
1990,ID,"Electric Generators, Electric Utilities",Hydroelectric Conventional,8617362.0
1990,ID,"Electric Generators, Electric Utilities",Petroleum,615.0
1990,ID,"Combined Heat and Power, Industrial Power",Total,494877.0
1990,ID,"Combined Heat and Power, Industrial Power",Coal,44371.0
1990,ID,"Combined Heat and Power, Industrial Power",Natural Gas,55714.0
1990,ID,"Combined Heat and Power, Industrial Power",Other,65203.0
1990,ID,"Combined Heat and Power, Industrial Power",Petroleum,379.0
1990,ID,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,329210.0
1990,ID,"Combined Heat and Power, Electric Power",Total,80993.0
1990,ID,"Combined Heat and Power, Electric Power",Wood and Wood Derived Fuels,80993.0
1990,IL,Total Electric Power Industry,Total,129392471.0
1990,IL,Total Electric Power Industry,Coal,54966018.0
1990,IL,Total Electric Power Industry,Hydroelectric Conventional,143926.0
1990,IL,Total Electric Power Industry,Natural Gas,1419891.0
1990,IL,Total Electric Power Industry,Nuclear,71887302.0
1990,IL,Total Electric Power Industry,Other Biomass,154855.0
1990,IL,Total Electric Power Industry,Other Gases,381562.0
1990,IL,Total Electric Power Industry,Petroleum,438584.0
1990,IL,Total Electric Power Industry,Wood and Wood Derived Fuels,333.0
1990,IL,"Electric Generators, Independent Power Producers",Total,209717.0
1990,IL,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,83086.0
1990,IL,"Electric Generators, Independent Power Producers",Other Biomass,126525.0
1990,IL,"Electric Generators, Independent Power Producers",Petroleum,106.0
1990,IL,"Electric Generators, Electric Utilities",Total,126977389.0
1990,IL,"Electric Generators, Electric Utilities",Coal,53865768.0
1990,IL,"Electric Generators, Electric Utilities",Hydroelectric Conventional,60840.0
1990,IL,"Electric Generators, Electric Utilities",Natural Gas,740926.0
1990,IL,"Electric Generators, Electric Utilities",Nuclear,71887302.0
1990,IL,"Electric Generators, Electric Utilities",Petroleum,422553.0
1990,IL,"Combined Heat and Power, Industrial Power",Total,2097646.0
1990,IL,"Combined Heat and Power, Industrial Power",Coal,1100250.0
1990,IL,"Combined Heat and Power, Industrial Power",Natural Gas,599576.0
1990,IL,"Combined Heat and Power, Industrial Power",Other Gases,381562.0
1990,IL,"Combined Heat and Power, Industrial Power",Petroleum,15925.0
1990,IL,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,333.0
1990,IL,"Combined Heat and Power, Electric Power",Total,37664.0
1990,IL,"Combined Heat and Power, Electric Power",Natural Gas,9334.0
1990,IL,"Combined Heat and Power, Electric Power",Other Biomass,28330.0
1990,IL,"Combined Heat and Power, Commercial Power",Total,70055.0
1990,IL,"Combined Heat and Power, Commercial Power",Natural Gas,70055.0
1990,IL,"Combined Heat and Power, Commercial Power",Petroleum,0.0
1990,IN,Total Electric Power Industry,Total,101417116.0
1990,IN,Total Electric Power Industry,Coal,96925554.0
1990,IN,Total Electric Power Industry,Hydroelectric Conventional,441021.0
1990,IN,Total Electric Power Industry,Natural Gas,1470837.0
1990,IN,Total Electric Power Industry,Other Biomass,37117.0
1990,IN,Total Electric Power Industry,Other Gases,1674549.0
1990,IN,Total Electric Power Industry,Petroleum,868038.0
1990,IN,"Electric Generators, Electric Utilities",Total,97738497.0
1990,IN,"Electric Generators, Electric Utilities",Coal,96012872.0
1990,IN,"Electric Generators, Electric Utilities",Hydroelectric Conventional,441021.0
1990,IN,"Electric Generators, Electric Utilities",Natural Gas,610620.0
